Country,Country_Fullname,Mapping,Tariff_Default,Tariff_Actual,Display
Afghanistan,the Islamic Republic of Afghanistan,,10%,10%,Afghanistan [10%]
Albania,the Republic of Albania,,10%,10%,Albania [10%]
Algeria,the People's Democratic Republic of Algeria,,10%,30%,Algeria [30%]
Andorra,the Principality of Andorra,,10%,10%,Andorra [10%]
Angola,the Republic of Angola,,10%,32%,Angola [32%]
Antigua and Barbuda,Antigua and Barbuda,,10%,10%,Antigua and Barbuda [10%]
Argentina,the Argentine Republic,,10%,10%,Argentina [10%]
Armenia,the Republic of Armenia,,10%,10%,Armenia [10%]
Australia,Australia,,10%,10%,Australia [10%]
Austria,the Republic of Austria,European Union,10%,15%,Austria (European Union) [15%]
Azerbaijan,the Republic of Azerbaijan,,10%,10%,Azerbaijan [10%]
Bahamas,the Commonwealth of The Bahamas,,10%,10%,Bahamas [10%]
Bahrain,the Kingdom of Bahrain,,10%,10%,Bahrain [10%]
Bangladesh,the People's Republic of Bangladesh,,10%,37%,Bangladesh [37%]
Barbados,Barbados,,10%,10%,Barbados [10%]
Belarus,the Republic of Belarus,Non-NTR,10%,35%,Belarus (Non-NTR) [35%]
Belgium,the Kingdom of Belgium,European Union,10%,15%,Belgium (European Union) [15%]
Belize,Belize,,10%,10%,Belize [10%]
Benin,the Republic of Benin,,10%,10%,Benin [10%]
Bhutan,the Kingdom of Bhutan,,10%,10%,Bhutan [10%]
Bolivia,the Plurinational State of Bolivia,,10%,10%,Bolivia [10%]
Bosnia and Herzegovina,Bosnia and Herzegovina,,10%,35%,Bosnia and Herzegovina [35%]
Botswana,the Republic of Botswana,,10%,37%,Botswana [37%]
Brazil,the Federative Republic of Brazil,,10%,10%,Brazil [10%]
Brunei,Brunei Darussalam,,10%,24%,Brunei [24%]
Bulgaria,the Republic of Bulgaria,European Union,10%,15%,Bulgaria (European Union) [15%]
Burkina Faso,Burkina Faso,,10%,10%,Burkina Faso [10%]
Burundi,the Republic of Burundi,,10%,10%,Burundi [10%]
Cabo Verde,the Republic of Cabo Verde,,10%,10%,Cabo Verde [10%]
Cambodia,the Kingdom of Cambodia,,10%,49%,Cambodia [49%]
Cameroon,the Republic of Cameroon,,10%,11%,Cameroon [11%]
Canada,Canada,,10%,10%,Canada [10%]
Central African Republic,the Central African Republic,,10%,10%,Central African Republic [10%]
Chad,the Republic of Chad,,10%,13%,Chad [13%]
Chile,the Republic of Chile,,10%,10%,Chile [10%]
China,the People's Republic of China,,10%,34%,China [34%]
Colombia,the Republic of Colombia,,10%,10%,Colombia [10%]
Comoros,the Union of the Comoros,,10%,10%,Comoros [10%]
Congo,the Republic of the Congo,,10%,10%,Congo [10%]
Cook Islands,the Cook Islands **,,10%,10%,Cook Islands [10%]
Costa Rica,the Republic of Costa Rica,,10%,10%,Costa Rica [10%]
Côte d'Ivoire,the Republic of Côte d'Ivoire,,10%,21%,Côte d'Ivoire [21%]
Croatia,the Republic of Croatia,European Union,10%,15%,Croatia (European Union) [15%]
Cuba,the Republic of Cuba,Non-NTR,10%,35%,Cuba (Non-NTR) [35%]
Cyprus,the Republic of Cyprus,European Union,10%,15%,Cyprus (European Union) [15%]
Czechia,the Czech Republic,European Union,10%,15%,Czechia (European Union) [15%]
Democratic Republic of the Congo,the Democratic Republic of the Congo,,10%,11%,Democratic Republic of the Congo [11%]
Denmark,the Kingdom of Denmark,European Union,10%,15%,Denmark (European Union) [15%]
Djibouti,the Republic of Djibouti,,10%,10%,Djibouti [10%]
Dominica,the Commonwealth of Dominica,,10%,10%,Dominica [10%]
Dominican Republic,the Dominican Republic,,10%,10%,Dominican Republic [10%]
Ecuador,the Republic of Ecuador,,10%,10%,Ecuador [10%]
Egypt,the Arab Republic of Egypt,,10%,10%,Egypt [10%]
El Salvador,the Republic of El Salvador,,10%,10%,El Salvador [10%]
Equatorial Guinea,the Republic of Equatorial Guinea,,10%,13%,Equatorial Guinea [13%]
Eritrea,the State of Eritrea,,10%,10%,Eritrea [10%]
Estonia,the Republic of Estonia,European Union,10%,15%,Estonia (European Union) [15%]
Eswatini,the Kingdom of Eswatini,,10%,10%,Eswatini [10%]
Ethiopia,the Federal Democratic Republic of Ethiopia,,10%,10%,Ethiopia [10%]
Falkland Islands,Falkland Islands,,,41%,Falkland Islands [41%]
Fiji,the Republic of Fiji,,10%,32%,Fiji [32%]
